datetime_utc,date,hour,minute,price_eur_mwh
2024-05-22 22:30:00,2024-05-22,22,30,-65.00
2024-05-22 22:45:00,2024-05-22,22,45,-169.02
2024-05-22 23:00:00,2024-05-22,23,0,-15.90
2024-05-22 23:15:00,2024-05-22,23,15,-43.31
2024-05-22 23:30:00,2024-05-22,23,30,-47.77
2024-05-22 23:45:00,2024-05-22,23,45,-90.63
2024-05-23 00:00:00,2024-05-23,0,0,106.63
2024-05-23 00:15:00,2024-05-23,0,15,-34.69
2024-05-23 00:30:00,2024-05-23,0,30,-57.74
2024-05-23 00:45:00,2024-05-23,0,45,-72.67
2024-05-23 01:00:00,2024-05-23,1,0,-123.41
2024-05-23 01:15:00,2024-05-23,1,15,-124.00
2024-05-23 01:30:00,2024-05-23,1,30,-23.82
2024-05-23 01:45:00,2024-05-23,1,45,-131.91
2024-05-23 02:00:00,2024-05-23,2,0,-193.09
2024-05-23 02:15:00,2024-05-23,2,15,-7.10
2024-05-23 02:30:00,2024-05-23,2,30,-165.77
2024-05-23 02:45:00,2024-05-23,2,45,-163.00
2024-05-23 03:00:00,2024-05-23,3,0,-121.50
2024-05-23 03:15:00,2024-05-23,3,15,-65.00
2024-05-23 03:30:00,2024-05-23,3,30,15.00
2024-05-23 03:45:00,2024-05-23,3,45,57.00
2024-05-23 04:00:00,2024-05-23,4,0,14.31
2024-05-23 04:15:00,2024-05-23,4,15,15.00
2024-05-23 04:30:00,2024-05-23,4,30,134.66
2024-05-23 04:45:00,2024-05-23,4,45,156.42
2024-05-23 05:00:00,2024-05-23,5,0,231.93
2024-05-23 05:15:00,2024-05-23,5,15,239.15
2024-05-23 05:30:00,2024-05-23,5,30,259.48
2024-05-23 05:45:00,2024-05-23,5,45,230.33
2024-05-23 06:00:00,2024-05-23,6,0,47.50
2024-05-23 06:15:00,2024-05-23,6,15,-2.11
2024-05-23 06:30:00,2024-05-23,6,30,75.25
2024-05-23 06:45:00,2024-05-23,6,45,-30.00
2024-05-23 07:00:00,2024-05-23,7,0,149.16
2024-05-23 07:15:00,2024-05-23,7,15,42.50
2024-05-23 07:30:00,2024-05-23,7,30,42.50
2024-05-23 07:45:00,2024-05-23,7,45,-354.27
2024-05-23 08:00:00,2024-05-23,8,0,152.50
2024-05-23 08:15:00,2024-05-23,8,15,174.01
2024-05-23 08:30:00,2024-05-23,8,30,157.98
2024-05-23 08:45:00,2024-05-23,8,45,154.43
2024-05-23 09:00:00,2024-05-23,9,0,177.94
2024-05-23 09:15:00,2024-05-23,9,15,332.18
2024-05-23 09:30:00,2024-05-23,9,30,285.49
2024-05-23 09:45:00,2024-05-23,9,45,347.45
2024-05-23 10:00:00,2024-05-23,10,0,338.77
2024-05-23 10:15:00,2024-05-23,10,15,390.13
2024-05-23 10:30:00,2024-05-23,10,30,395.69
2024-05-23 10:45:00,2024-05-23,10,45,394.78
2024-05-23 11:00:00,2024-05-23,11,0,398.89
2024-05-23 11:15:00,2024-05-23,11,15,399.32
2024-05-23 11:30:00,2024-05-23,11,30,393.76
2024-05-23 11:45:00,2024-05-23,11,45,361.52
2024-05-23 12:00:00,2024-05-23,12,0,288.82
2024-05-23 12:15:00,2024-05-23,12,15,193.73
2024-05-23 12:30:00,2024-05-23,12,30,142.03
2024-05-23 12:45:00,2024-05-23,12,45,122.03
2024-05-23 13:00:00,2024-05-23,13,0,97.96
2024-05-23 13:15:00,2024-05-23,13,15,42.50
2024-05-23 13:30:00,2024-05-23,13,30,42.50
2024-05-23 13:45:00,2024-05-23,13,45,75.16
2024-05-23 14:00:00,2024-05-23,14,0,45.00
2024-05-23 14:15:00,2024-05-23,14,15,-216.90
2024-05-23 14:30:00,2024-05-23,14,30,100.02
2024-05-23 14:45:00,2024-05-23,14,45,125.77
2024-05-23 15:00:00,2024-05-23,15,0,107.90
2024-05-23 15:15:00,2024-05-23,15,15,98.65
2024-05-23 15:30:00,2024-05-23,15,30,124.59
2024-05-23 15:45:00,2024-05-23,15,45,138.88
2024-05-23 16:00:00,2024-05-23,16,0,130.00
2024-05-23 16:15:00,2024-05-23,16,15,121.72
2024-05-23 16:30:00,2024-05-23,16,30,45.00
2024-05-23 16:45:00,2024-05-23,16,45,121.55
2024-05-23 17:00:00,2024-05-23,17,0,-342.29
2024-05-23 17:15:00,2024-05-23,17,15,8.06
2024-05-23 17:30:00,2024-05-23,17,30,45.00
2024-05-23 17:45:00,2024-05-23,17,45,154.66
2024-05-23 18:00:00,2024-05-23,18,0,173.16
2024-05-23 18:15:00,2024-05-23,18,15,231.86
2024-05-23 18:30:00,2024-05-23,18,30,255.58
2024-05-23 18:45:00,2024-05-23,18,45,198.82
2024-05-23 19:00:00,2024-05-23,19,0,196.52
2024-05-23 19:15:00,2024-05-23,19,15,196.52
2024-05-23 19:30:00,2024-05-23,19,30,136.29
2024-05-23 19:45:00,2024-05-23,19,45,181.41
2024-05-23 20:00:00,2024-05-23,20,0,164.91
2024-05-23 20:15:00,2024-05-23,20,15,162.00
2024-05-23 20:30:00,2024-05-23,20,30,165.01
2024-05-23 20:45:00,2024-05-23,20,45,162.00
2024-05-23 21:00:00,2024-05-23,21,0,186.52
2024-05-23 21:15:00,2024-05-23,21,15,162.00
2024-05-23 21:30:00,2024-05-23,21,30,246.76
2024-05-23 21:45:00,2024-05-23,21,45,126.25
2024-05-23 22:00:00,2024-05-23,22,0,111.20
2024-05-23 22:15:00,2024-05-23,22,15,-16.59
2024-05-23 22:30:00,2024-05-23,22,30,88.12
2024-05-23 22:45:00,2024-05-23,22,45,-103.65
2024-05-23 23:00:00,2024-05-23,23,0,169.25
2024-05-23 23:15:00,2024-05-23,23,15,111.32
2024-05-23 23:30:00,2024-05-23,23,30,40.32
2024-05-23 23:45:00,2024-05-23,23,45,-145.88
2024-05-24 00:00:00,2024-05-24,0,0,88.12
2024-05-24 00:15:00,2024-05-24,0,15,88.12
2024-05-24 00:30:00,2024-05-24,0,30,121.89
2024-05-24 00:45:00,2024-05-24,0,45,108.36
2024-05-24 01:00:00,2024-05-24,1,0,152.66
2024-05-24 01:15:00,2024-05-24,1,15,162.21
2024-05-24 01:30:00,2024-05-24,1,30,147.40
2024-05-24 01:45:00,2024-05-24,1,45,111.18
2024-05-24 02:00:00,2024-05-24,2,0,110.53
2024-05-24 02:15:00,2024-05-24,2,15,110.42
2024-05-24 02:30:00,2024-05-24,2,30,175.22
2024-05-24 02:45:00,2024-05-24,2,45,178.97
2024-05-24 03:00:00,2024-05-24,3,0,82.60
2024-05-24 03:15:00,2024-05-24,3,15,109.29
2024-05-24 03:30:00,2024-05-24,3,30,109.48
2024-05-24 03:45:00,2024-05-24,3,45,161.00
2024-05-24 04:00:00,2024-05-24,4,0,-364.22
2024-05-24 04:15:00,2024-05-24,4,15,105.80
2024-05-24 04:30:00,2024-05-24,4,30,106.61
2024-05-24 04:45:00,2024-05-24,4,45,109.82
2024-05-24 05:00:00,2024-05-24,5,0,112.04
2024-05-24 05:15:00,2024-05-24,5,15,82.60
2024-05-24 05:30:00,2024-05-24,5,30,114.62
2024-05-24 05:45:00,2024-05-24,5,45,182.51
2024-05-24 06:00:00,2024-05-24,6,0,192.30
2024-05-24 06:15:00,2024-05-24,6,15,274.94
2024-05-24 06:30:00,2024-05-24,6,30,318.77
2024-05-24 06:45:00,2024-05-24,6,45,341.49
2024-05-24 07:00:00,2024-05-24,7,0,389.15
2024-05-24 07:15:00,2024-05-24,7,15,399.27
2024-05-24 07:30:00,2024-05-24,7,30,399.84
2024-05-24 07:45:00,2024-05-24,7,45,399.96
2024-05-24 08:00:00,2024-05-24,8,0,399.65
2024-05-24 08:15:00,2024-05-24,8,15,379.72
2024-05-24 08:30:00,2024-05-24,8,30,305.78
2024-05-24 08:45:00,2024-05-24,8,45,271.25
2024-05-24 09:00:00,2024-05-24,9,0,207.75
2024-05-24 09:15:00,2024-05-24,9,15,252.85
2024-05-24 09:30:00,2024-05-24,9,30,244.81
2024-05-24 09:45:00,2024-05-24,9,45,325.49
2024-05-24 10:00:00,2024-05-24,10,0,387.98
2024-05-24 10:15:00,2024-05-24,10,15,371.74
2024-05-24 10:30:00,2024-05-24,10,30,267.92
2024-05-24 10:45:00,2024-05-24,10,45,259.94
2024-05-24 11:00:00,2024-05-24,11,0,265.00
2024-05-24 11:15:00,2024-05-24,11,15,147.22
2024-05-24 11:30:00,2024-05-24,11,30,173.27
2024-05-24 11:45:00,2024-05-24,11,45,73.10
2024-05-24 12:00:00,2024-05-24,12,0,73.10
2024-05-24 12:15:00,2024-05-24,12,15,24.63
2024-05-24 12:30:00,2024-05-24,12,30,-67.61
2024-05-24 12:45:00,2024-05-24,12,45,-285.33
2024-05-24 13:00:00,2024-05-24,13,0,146.64
2024-05-24 13:15:00,2024-05-24,13,15,161.54
